DME9736	FBte0000104	AJ009736
MAR	FBte0000892	AF518731
HEL	FBte0000984	nnnnnnnn
P_T	FBte0000823	AF012414
P_O	FBte0000598	X71634
P_M	FBte0000598	X60990
SGM	FBte0000136	AF043638
DDBARI1	FBte0000962	Y13852
TC3	FBte0000044	AC009537
Beagle2	FBte0001399	3R.Release.3
DPSEMINIME	FBtennnnnn1	AC131959
Q	FBte0000124	AE002612
BUT1	FBte0000332	AF162798
BUT2	FBte0000339	AF368884
BUT3	FBte0000935	AF368870
BUT4	FBte0000890	AF368868
BUT5	FBte0001188	AY187768
BUT6	FBte0001122	AY187768
ISBU1	FBte0001076	AF368900
ISBU2	FBte0000793	AF368867
ISBU3	FBte0000139	AY313771
NEWTON	FBte0000407	AF368890
GALILEO	FBte0001080	AY187769
KEPLER	FBte0000662	AF368884
YAKHETA	FBte0000737	AF043258
TARTVIR	FBte0000683	AY219709
HETAVIR	FBte0000538	AY369259
TARTYAK	FBte0000886	AF468026
NEOR1A	FBte0000925	AF248067
TAKR1A2	FBte0001071	U23198
MERCR1A3	FBte0001036	AF015277
NETR1B	FBte0000925	AF248068
GEM	FBtennnnnn2	AJ131629
VIRUVIR	FBte0000291	AY369259
DTEII	FBte0000242	M28878
OSV	FBte0000587	AY089271
TAHRE	FBte0000148	AJ542581
Xanthias	FBte0001316	FJ238509
